"gender","race/ethnicity","parental level of education","lunch","test preparation course","math score","reading score","writing score"
"female","group C","some college","standard","completed","68","79","81"
"male","group C","associate's degree","standard","none","71","72","71"
"female","group B","some college","free/reduced","completed","84","94","96"
"male","group C","master's degree","free/reduced","completed","89","95","88"
"male","group C","bachelor's degree","free/reduced","completed","82","80","82"
"male","group D","bachelor's degree","standard","none","65","50","58"
"female","group B","associate's degree","standard","completed","55","63","67"
"male","group C","bachelor's degree","standard","none","90","83","77"
"male","group D","high school","standard","none","89","81","78"
"male","group C","bachelor's degree","free/reduced","completed","68","76","76"
"female","group D","some high school","standard","none","69","81","78"
"male","group C","high school","standard","completed","63","67","58"
"female","group E","master's degree","standard","completed","87","83","90"
"female","group D","bachelor's degree","free/reduced","none","35","47","48"
"female","group D","some high school","standard","none","58","59","58"
"female","group C","bachelor's degree","standard","none","58","61","64"
"male","group B","bachelor's degree","standard","none","56","47","49"
"male","group A","associate's degree","standard","none","75","70","70"
"female","group C","some college","standard","none","49","54","59"
"male","group B","high school","free/reduced","completed","61","60","60"
"female","group C","associate's degree","standard","none","64","74","73"
"male","group D","some college","standard","completed","90","83","86"
"female","group D","some college","free/reduced","completed","58","68","74"
"female","group B","some college","free/reduced","none","51","77","70"
"female","group D","some college","free/reduced","none","34","60","56"
"male","group B","some college","standard","none","86","75","68"
"male","group D","associate's degree","free/reduced","completed","62","62","63"
"male","group C","associate's degree","standard","none","56","48","54"
"female","group A","associate's degree","standard","completed","74","81","89"
"female","group B","associate's degree","standard","none","76","76","77"
"male","group C","some college","free/reduced","completed","66","67","70"
"female","group B","associate's degree","free/reduced","completed","72","79","83"
"female","group C","some high school","free/reduced","none","42","49","52"
"male","group C","bachelor's degree","standard","none","66","60","55"
"male","group D","some college","standard","none","70","78","67"
"male","group A","some high school","free/reduced","completed","58","58","54"
"female","group C","some high school","free/reduced","none","27","43","38"
"female","group E","some high school","standard","completed","63","55","65"
"female","group A","high school","standard","none","49","58","58"
"male","group B","associate's degree","standard","none","48","52","46"
"female","group C","high school","standard","none","59","65","65"
"male","group C","some high school","standard","none","83","64","60"
"female","group B","some high school","standard","none","60","60","61"
"male","group E","bachelor's degree","free/reduced","completed","55","48","43"
"female","group C","high school","standard","none","51","62","59"
"male","group B","associate's degree","standard","none","57","45","42"
"male","group B","some high school","standard","none","69","65","62"
"male","group B","some college","free/reduced","none","50","55","52"
"female","group D","associate's degree","standard","none","86","99","100"
"female","group D","master's degree","free/reduced","completed","70","79","81"
"female","group C","some college","free/reduced","none","78","79","81"
"female","group C","associate's degree","free/reduced","completed","59","77","73"
"male","group B","some high school","free/reduced","completed","50","51","46"
"female","group C","some high school","standard","none","49","58","54"
"male","group D","associate's degree","free/reduced","none","59","66","64"
"male","group E","master's degree","free/reduced","none","55","59","52"
"female","group E","master's degree","standard","none","88","81","81"
"male","group D","bachelor's degree","free/reduced","none","72","72","74"
"male","group B","master's degree","standard","none","67","72","70"
"male","group B","some college","standard","completed","55","39","46"
"female","group C","bachelor's degree","free/reduced","none","46","55","53"
"female","group B","some high school","standard","completed","65","72","75"
"female","group B","bachelor's degree","free/reduced","completed","44","54","59"
"female","group E","some college","standard","none","66","76","66"
"male","group C","associate's degree","standard","completed","90","85","88"
"female","group B","high school","standard","completed","64","78","77"
"female","group D","some high school","free/reduced","none","53","58","58"
"male","group D","associate's degree","standard","none","76","72","68"
"female","group C","associate's degree","free/reduced","none","52","65","62"
"male","group D","high school","free/reduced","completed","78","66","67"
"male","group C","high school","free/reduced","none","57","46","46"
"female","group C","high school","standard","none","56","67","70"
"male","group A","some college","free/reduced","none","58","56","50"
"female","group B","some college","free/reduced","completed","41","51","53"
"female","group C","high school","free/reduced","completed","63","77","74"
"female","group E","high school","standard","none","56","59","57"
"male","group D","bachelor's degree","standard","completed","73","69","73"
"female","group C","some college","standard","completed","64","72","79"
"female","group B","associate's degree","standard","none","86","96","92"
"male","group C","associate's degree","free/reduced","completed","69","72","67"
"female","group C","associate's degree","standard","none","78","93","93"
"male","group B","bachelor's degree","standard","none","75","84","77"
"female","group C","some college","free/reduced","none","77","87","82"
"female","group D","associate's degree","free/reduced","none","51","70","69"
"male","group C","some college","free/reduced","none","54","43","44"
"male","group C","high school","standard","completed","85","83","85"
"female","group D","high school","standard","none","63","61","60"
"male","group B","bachelor's degree","free/reduced","none","84","71","71"
"female","group E","high school","standard","none","65","76","67"
"female","group C","bachelor's degree","free/reduced","completed","83","93","92"
"male","group B","some college","free/reduced","none","55","52","44"
"female","group B","high school","standard","none","54","62","57"
"female","group B","high school","free/reduced","none","52","64","63"
"male","group C","some college","standard","completed","65","52","58"
"male","group E","high school","standard","none","89","73","68"
"female","group D","associate's degree","standard","completed","64","74","85"
