"gender","race/ethnicity","parental level of education","lunch","test preparation course","math score","reading score","writing score"
"male","group B","associate's degree","standard","none","66","53","51"
"female","group E","high school","standard","completed","76","66","69"
"male","group E","some college","standard","none","62","61","54"
"female","group D","high school","standard","completed","79","89","90"
"male","group D","high school","free/reduced","none","83","81","80"
"female","group C","some high school","standard","none","73","83","82"
"male","group D","some college","free/reduced","completed","43","50","46"
"female","group C","associate's degree","standard","completed","73","77","85"
"male","group C","bachelor's degree","standard","none","74","64","69"
"male","group D","high school","free/reduced","completed","72","78","74"
"female","group C","some high school","free/reduced","none","45","45","53"
"female","group B","bachelor's degree","free/reduced","none","56","74","69"
"male","group C","high school","free/reduced","completed","54","55","49"
"male","group A","some high school","free/reduced","none","51","46","33"
"female","group D","some high school","standard","none","79","82","87"
"female","group C","associate's degree","free/reduced","none","48","65","61"
"female","group D","some college","free/reduced","completed","53","65","67"
"female","group C","high school","free/reduced","none","41","59","54"
"female","group C","some college","standard","none","55","62","71"
"male","group A","master's degree","free/reduced","none","63","66","65"
"male","group C","associate's degree","standard","none","81","67","66"
"male","group D","some college","standard","none","83","76","72"
"male","group E","some college","standard","completed","73","60","57"
"male","group B","some high school","free/reduced","none","59","64","58"
"female","group B","associate's degree","standard","completed","62","85","84"
"male","group D","high school","free/reduced","completed","83","87","85"
"male","group D","some college","standard","none","72","56","59"
"female","group C","associate's degree","free/reduced","none","49","60","62"
"male","group B","bachelor's degree","standard","completed","55","51","54"
"male","group D","some college","standard","none","84","87","83"
"male","group B","high school","standard","none","70","68","67"
"female","group D","associate's degree","standard","none","71","89","83"
"male","group D","high school","standard","none","54","44","48"
"male","group C","high school","standard","none","85","81","75"
"female","group D","high school","standard","completed","66","68","72"
"female","group C","some college","free/reduced","none","74","82","81"
"male","group C","high school","free/reduced","completed","48","50","55"
"female","group D","associate's degree","standard","none","59","52","62"
"female","group A","high school","free/reduced","none","48","47","44"
"male","group D","some college","standard","completed","56","60","58"
"female","group C","some high school","standard","completed","68","74","80"
"male","group C","associate's degree","standard","none","82","65","70"
"male","group A","bachelor's degree","standard","completed","61","59","64"
"male","group C","some college","free/reduced","none","57","54","51"
"female","group D","some high school","standard","none","61","62","61"
"female","group D","some college","standard","completed","78","87","87"
"female","group E","some college","standard","completed","64","60","67"
"male","group C","bachelor's degree","standard","none","92","96","89"
"male","group C","associate's degree","standard","none","89","85","75"
"male","group A","associate's degree","standard","none","41","32","28"
"male","group D","associate's degree","standard","none","97","86","92"
"female","group E","some high school","free/reduced","completed","75","91","87"
"female","group A","bachelor's degree","standard","completed","70","80","85"
"male","group E","some high school","standard","none","88","75","76"
"male","group C","associate's degree","free/reduced","completed","73","68","73"
"female","group B","some college","free/reduced","completed","47","58","62"
"male","group B","master's degree","standard","completed","72","67","64"
"female","group C","bachelor's degree","standard","none","74","96","89"
"male","group C","bachelor's degree","free/reduced","completed","58","57","59"
"male","group A","some college","standard","completed","84","78","80"
"female","group B","high school","standard","none","82","89","88"
"male","group E","some college","standard","completed","92","76","82"
"female","group C","some high school","standard","none","74","80","81"
"female","group C","high school","standard","completed","48","54","57"
"male","group E","bachelor's degree","standard","completed","67","67","68"
"female","group C","some college","free/reduced","none","22","42","35"
"female","group C","some college","standard","none","61","69","68"
"female","group C","some high school","standard","completed","64","75","76"
"female","group D","some high school","standard","completed","27","41","40"
"male","group C","associate's degree","free/reduced","none","67","77","75"
"female","group B","high school","standard","completed","54","69","71"
"female","group D","some high school","free/reduced","none","49","60","63"
"female","group C","high school","standard","completed","80","94","96"
"male","group B","associate's degree","standard","none","70","71","68"
"male","group C","bachelor's degree","standard","completed","78","73","72"
"male","group E","some high school","standard","none","66","65","62"
"male","group B","master's degree","free/reduced","none","59","55","54"
"female","group A","some high school","free/reduced","none","29","42","39"
"female","group C","some college","free/reduced","none","46","59","50"
"male","group B","some high school","free/reduced","completed","65","59","61"
"female","group B","some college","free/reduced","none","46","57","61"
"female","group C","some college","standard","completed","88","100","100"
"female","group C","high school","standard","completed","69","74","84"
"male","group E","some college","standard","none","82","73","60"
"male","group C","some college","free/reduced","none","62","59","53"
"female","group C","bachelor's degree","standard","completed","90","100","100"
"male","group D","associate's degree","standard","completed","73","58","59"
"male","group C","bachelor's degree","free/reduced","none","83","76","74"
"female","group C","some high school","standard","none","65","86","81"
"female","group B","some college","standard","completed","87","85","88"
"female","group C","master's degree","standard","completed","84","100","100"
"female","group D","some high school","free/reduced","completed","30","35","46"
"female","group D","high school","free/reduced","completed","71","87","89"
"male","group C","some college","standard","none","67","67","66"
"male","group D","associate's degree","standard","none","78","71","70"
"male","group D","high school","standard","none","81","62","61"
"male","group B","some high school","standard","none","48","53","47"
"female","group C","some high school","free/reduced","none","54","63","64"
"female","group C","high school","standard","none","36","47","48"
"female","group C","some high school","standard","none","71","78","78"
"male","group B","some college","free/reduced","none","70","68","64"
"female","group C","some high school","standard","completed","73","77","75"
"female","group B","high school","free/reduced","none","47","54","58"
"female","group B","some high school","standard","completed","86","95","92"
"female","group D","associate's degree","standard","none","91","93","96"
"female","group D","associate's degree","standard","none","79","81","77"
"female","group B","some high school","standard","none","34","56","49"
"male","group B","some high school","free/reduced","none","48","58","53"
"male","group C","some high school","standard","none","64","66","57"
"male","group C","high school","free/reduced","none","48","49","45"
"male","group E","some college","free/reduced","completed","74","74","69"
"female","group E","some high school","standard","completed","62","62","66"
"female","group C","some college","standard","completed","65","73","78"
"female","group C","some college","standard","none","63","73","69"
"female","group D","some college","standard","completed","76","84","81"
"female","group C","bachelor's degree","standard","none","74","89","84"
"male","group D","associate's degree","standard","completed","89","97","96"
"male","group B","high school","standard","none","47","54","46"
"female","group B","master's degree","standard","none","61","63","68"
"female","group C","associate's degree","free/reduced","none","58","77","76"
"male","group D","high school","free/reduced","completed","44","60","57"
"female","group B","associate's degree","free/reduced","none","57","70","72"
"female","group C","bachelor's degree","standard","none","69","85","84"
"male","group B","high school","standard","completed","58","51","56"
"male","group D","associate's degree","standard","none","78","82","83"
"male","group D","associate's degree","standard","completed","94","88","90"
"male","group C","high school","standard","completed","57","51","51"
"female","group B","some high school","standard","none","40","46","46"
"male","group D","some college","free/reduced","completed","68","60","66"
"male","group C","some college","standard","none","70","70","67"
"male","group D","high school","free/reduced","none","19","29","22"
"female","group D","some college","free/reduced","none","73","80","83"
"female","group B","bachelor's degree","free/reduced","none","70","89","79"
"male","group C","associate's degree","standard","none","74","61","65"
"female","group B","bachelor's degree","free/reduced","none","53","63","57"
"male","group C","associate's degree","standard","completed","76","72","69"
"female","group D","bachelor's degree","standard","completed","77","90","89"
"male","group D","some college","free/reduced","none","50","50","53"
"female","group D","bachelor's degree","standard","completed","78","100","100"
"male","group E","some high school","standard","none","77","59","66"
"male","group C","bachelor's degree","standard","none","53","55","53"
"female","group A","some college","standard","none","76","81","81"
"male","group A","high school","standard","none","87","80","77"
"female","group D","some college","standard","none","77","81","80"
"female","group C","associate's degree","free/reduced","none","55","60","61"
"female","group B","high school","free/reduced","none","62","70","60"
"female","group C","high school","standard","none","48","56","56"
"male","group D","high school","standard","none","70","59","56"
"male","group D","some high school","standard","none","65","59","60"
"female","group E","some high school","standard","none","81","83","77"
"female","group C","some high school","standard","none","77","87","80"
"male","group D","some college","standard","none","70","71","71"
"female","group C","some high school","standard","none","54","64","56"
"female","group D","high school","free/reduced","none","59","67","63"
"female","group C","high school","standard","completed","48","59","63"
"female","group B","some high school","standard","completed","61","67","66"
"male","group D","some college","standard","completed","81","81","81"
"female","group A","some high school","standard","none","51","64","64"
"female","group D","high school","standard","none","63","81","77"
"female","group D","high school","free/reduced","completed","61","85","87"
"male","group D","some high school","free/reduced","none","48","46","38"
"female","group B","associate's degree","standard","none","84","81","83"
"female","group D","some college","standard","completed","70","84","87"
"female","group D","high school","standard","completed","76","91","94"
"male","group E","some college","standard","completed","89","78","77"
"female","group E","some college","free/reduced","completed","53","49","54"
"male","group D","high school","standard","none","81","81","80"
"female","group C","high school","standard","completed","66","67","71"
"male","group C","high school","standard","none","69","66","62"
"male","group C","high school","free/reduced","completed","58","47","47"
"male","group B","some college","standard","none","64","67","58"
"male","group D","some high school","standard","none","67","56","55"
"female","group D","some college","standard","completed","69","76","83"
"female","group D","some high school","standard","none","77","81","83"
"female","group B","some college","free/reduced","none","33","57","44"
"male","group D","high school","standard","none","80","63","63"
"female","group B","associate's degree","standard","none","65","70","67"
"male","group B","bachelor's degree","standard","none","92","78","79"
"male","group C","some high school","standard","none","56","45","44"
"female","group D","high school","standard","completed","92","100","100"
"male","group C","master's degree","free/reduced","none","59","47","47"
"male","group C","associate's degree","standard","completed","97","77","81"
"female","group D","master's degree","free/reduced","completed","70","75","87"
"male","group D","some high school","standard","none","62","54","48"
"female","group C","high school","standard","completed","71","86","80"
"male","group B","associate's degree","free/reduced","none","39","47","41"
"male","group D","high school","standard","none","64","59","57"
"male","group E","high school","free/reduced","completed","91","86","92"
"male","group B","high school","free/reduced","none","61","64","61"
"female","group D","high school","standard","none","70","75","78"
"female","group C","some college","free/reduced","completed","49","70","71"
"male","group E","associate's degree","free/reduced","none","62","55","48"
"female","group D","some college","standard","none","75","87","85"
"female","group B","some high school","standard","none","70","84","80"
"male","group E","bachelor's degree","standard","none","68","56","57"
"male","group E","associate's degree","standard","completed","92","78","76"
